label,lat,lon
autonav,42.667927,-83.219328
autonav,42.668076,-83.219359
autonav,42.668120,-83.219360
autonav,42.668270,-83.219340
equad,35.210590,-97.442080
equad,35.210598,-97.442312
equad,35.210473,-97.442314
equad,35.210480,-97.441919
practice,42.668164,-83.218670
practice,42.668286,-83.218676
practice,42.668311,-83.218255
practice,42.668134,-83.218233
selfdrive,42.668323,-83.217067
selfdrive,42.668354,-83.216394
selfdrive,42.668046,-83.216376
selfdrive,42.668032,-83.216840
qualification,42.668085, -83.218441
simulation,35.210446,-97.441982
simulation,35.210689,-97.441982
simulation,35.210437,-97.442234
simulation,35.210553,-97.442120
